Team 13
06.12.2017-08:55:15.678;5.173199;-1.685579
06.12.2017-08:55:15.787;5.22372;-1.610428
06.12.2017-08:55:15.897;5.268657;-1.531362
06.12.2017-08:55:16.006;5.307458;-1.448961
06.12.2017-08:55:16.115;5.340911;-1.360853
06.12.2017-08:55:16.225;5.364372;-1.282416
06.12.2017-08:55:16.334;5.380343;-1.213389
06.12.2017-08:55:16.443;5.390993;-1.152169
06.12.2017-08:55:16.553;5.397867;-1.096902
06.12.2017-08:55:16.662;5.40131;-1.056024
06.12.2017-08:55:16.772;5.403169;-1.020371
06.12.2017-08:55:16.881;5.403862;-0.9948159
06.12.2017-08:55:16.990;5.404036;-0.9784247
06.12.2017-08:55:17.100;5.404037;-0.9713131
06.12.2017-08:55:17.209;5.404019;-0.9659876
06.12.2017-08:55:17.318;5.403981;-0.9494578
06.12.2017-08:55:17.428;5.403891;-0.9245881
06.12.2017-08:55:17.537;5.40374;-0.8874194
06.12.2017-08:55:17.647;5.403577;-0.8419151
06.12.2017-08:55:17.756;5.403311;-0.7840287
06.12.2017-08:55:17.865;5.40295;-0.7154668
06.12.2017-08:55:17.975;5.40251;-0.6442317
06.12.2017-08:55:18.084;5.401959;-0.5553101
06.12.2017-08:55:18.194;5.401459;-0.4608258
06.12.2017-08:55:18.303;5.400487;-0.3552484
06.12.2017-08:55:18.412;5.399912;-0.2598192
06.12.2017-08:55:18.522;5.39911;-0.1495565
06.12.2017-08:55:18.631;5.398478;-0.05530143
06.12.2017-08:55:18.740;5.397789;0.04596487
06.12.2017-08:55:18.850;5.397015;0.1509981
06.12.2017-08:55:18.959;5.396298;0.2469765
06.12.2017-08:55:19.069;5.395611;0.35311
06.12.2017-08:55:19.178;5.394883;0.4489171
06.12.2017-08:55:19.287;5.394068;0.5548666
06.12.2017-08:55:19.397;5.393426;0.6483096
06.12.2017-08:55:19.506;5.392684;0.7508913
06.12.2017-08:55:19.615;5.391935;0.850433
06.12.2017-08:55:19.725;5.391214;0.9563999
06.12.2017-08:55:19.834;5.390517;1.053911
06.12.2017-08:55:19.944;5.389774;1.154768
06.12.2017-08:55:20.053;5.389055;1.257849
06.12.2017-08:55:20.162;5.388396;1.353274
06.12.2017-08:55:20.272;5.387691;1.460619
06.12.2017-08:55:20.381;5.387006;1.562402
06.12.2017-08:55:20.490;5.386453;1.656669
06.12.2017-08:55:20.600;5.38592;1.740236
06.12.2017-08:55:20.709;5.385583;1.80879
06.12.2017-08:55:20.819;5.385226;1.875275
06.12.2017-08:55:20.928;5.384972;1.92714
06.12.2017-08:55:21.037;5.384805;1.966408
06.12.2017-08:55:21.147;5.384682;1.997744
06.12.2017-08:55:21.256;5.384614;2.018491
06.12.2017-08:55:21.365;5.384591;2.027618
06.12.2017-08:55:21.475;5.384589;2.028118
06.12.2017-08:55:21.584;5.38459;2.028139
06.12.2017-08:55:21.694;5.384591;2.028134
06.12.2017-08:55:21.803;5.384604;2.028214
06.12.2017-08:55:21.912;5.384602;2.028266
06.12.2017-08:55:22.022;5.38462;2.028298
06.12.2017-08:55:22.131;5.384724;2.028242
06.12.2017-08:55:22.240;5.384751;2.028248
06.12.2017-08:55:22.350;5.384764;2.028245
06.12.2017-08:55:22.459;5.384843;2.028244
06.12.2017-08:55:22.569;5.380834;2.028234
06.12.2017-08:55:22.678;5.365536;2.028191
06.12.2017-08:55:22.787;5.338577;2.028095
06.12.2017-08:55:22.897;5.303456;2.027976
06.12.2017-08:55:23.006;5.256007;2.027762
06.12.2017-08:55:23.115;5.203224;2.027519
06.12.2017-08:55:23.225;5.131914;2.027188
06.12.2017-08:55:23.334;5.053774;2.026753
06.12.2017-08:55:23.444;4.968807;2.026275
06.12.2017-08:55:23.553;4.87361;2.025626
06.12.2017-08:55:23.662;4.767637;2.024991
06.12.2017-08:55:23.772;4.670067;2.024348
06.12.2017-08:55:23.881;4.568922;2.023653
06.12.2017-08:55:23.990;4.464075;2.022937
06.12.2017-08:55:24.100;4.361126;2.022288
06.12.2017-08:55:24.209;4.264628;2.021537
06.12.2017-08:55:24.319;4.159298;2.020814
06.12.2017-08:55:24.428;4.061184;2.020139
06.12.2017-08:55:24.537;3.956155;2.019368
06.12.2017-08:55:24.647;3.853495;2.018578
06.12.2017-08:55:24.756;3.759503;2.017991
06.12.2017-08:55:24.865;3.680878;2.017504
06.12.2017-08:55:24.975;3.606833;2.017135
06.12.2017-08:55:25.084;3.546273;2.016837
06.12.2017-08:55:25.194;3.489838;2.016608
06.12.2017-08:55:25.303;3.448189;2.016461
06.12.2017-08:55:25.412;3.409971;2.016335
06.12.2017-08:55:25.522;3.391321;2.016274
06.12.2017-08:55:25.631;3.385397;2.016267
